266,(94-67)*15+15,0,16*15+15,0,7*15+15,133,(40-34)*15+15,266,(86-67)*15+15,0,32*15+15,266,(84-67)*15+15,133,(53-34)*15+15,133,(36-34)*15+15,0,13*15+15,0,1*15+15,0,28*15+15,133,(50-34)*15+15,0,5*15+15,133,(63-34)*15+15,0,2*15+15,0,10*15+15,266,(67-67)*15+15,0,12*15+15,266,(74-67)*15+15,0,18*15+15,0,33*15+15,133,(64-34)*15+15,0,4*15+15,133,(59-34)*15+15,266,(83-67)*15+15,266,(90-67)*15+15,266,(70-67)*15+15,266,(89-67)*15+15,0,15*15+15,133,(41-34)*15+15,0,24*15+15,266,(98-67)*15+15,133,(58-34)*15+15,133,(42-34)*15+15,0,14*15+15,133,(65-34)*15+15,133,(48-34)*15+15,133,(44-34)*15+15,133,(43-34)*15+15,0,23*15+15,266,(93-67)*15+15,266,(99-67)*15+15,133,(62-34)*15+15,133,(56-34)*15+15,0,9*15+15,0,22*15+15,266,(71-67)*15+15,133,(45-34)*15+15,266,(81-67)*15+15,133,(60-34)*15+15,266,(95-67)*15+15,266,(85-67)*15+15,133,(55-34)*15+15,266,(75-67)*15+15,266,(76-67)*15+15,266,(68-67)*15+15,266,(77-67)*15+15,133,(38-34)*15+15,0,31*15+15,266,(79-67)*15+15,133,(66-34)*15+15,133,(57-34)*15+15,266,(91-67)*15+15,266,(72-67)*15+15,133,(39-34)*15+15,266,(73-67)*15+15,0,21*15+15,133,(47-34)*15+15,0,11*15+15,0,17*15+15,133,(51-34)*15+15,266,(69-67)*15+15,266,(97-67)*15+15,266,(78-67)*15+15,0,3*15+15,0,20*15+15,133,(37-34)*15+15,266,(80-67)*15+15,0,19*15+15,266,(87-67)*15+15,0,0*15+15,133,(52-34)*15+15,0,26*15+15,133,(46-34)*15+15,266,(92-67)*15+15,133,(61-34)*15+15,0,27*15+15,0,29*15+15,0,8*15+15,133,(54-34)*15+15,133,(49-34)*15+15,133,(35-34)*15+15,0,30*15+15,0,25*15+15,266,(82-67)*15+15,266,(88-67)*15+15,133,(34-34)*15+15,0,6*15+15,266,(96-67)*15+15,1464595696
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597320
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597336
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597362
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597378
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597395
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597414
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597440
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597456
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597481
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597497
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597523
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597539
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597555
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597571
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597587
266,420,0,255,0,120,133,105,266,300,0,495,266,270,133,300,133,45,0,210,0,30,0,435,133,255,0,90,133,450,0,45,0,165,266,15,0,195,266,120,0,285,0,510,133,465,0,75,133,390,266,255,266,360,266,60,266,345,0,240,133,120,0,375,266,480,133,375,133,135,0,225,133,480,133,225,133,165,133,150,0,360,266,405,266,495,133,435,133,345,0,150,0,345,266,75,133,180,266,225,133,405,266,435,266,285,133,330,266,135,266,150,266,30,266,165,133,75,0,480,266,195,133,495,133,360,266,375,266,90,133,90,266,105,0,330,133,210,0,180,0,270,133,270,266,45,266,465,266,180,0,60,0,315,133,60,266,210,0,300,266,315,0,15,133,285,0,405,133,195,266,390,133,420,0,420,0,450,0,135,133,315,133,240,133,30,0,465,0,390,266,240,266,330,133,15,0,105,266,450,1464597605
